date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:07	334315/334315	---M--	200	added ('OK')	image/jpeg	etag:%22b4ce7ac06b7a51ec9c7d1fe6202c447b%22	https://i.imgur.com/SwA6qxC.jpg	G:/xampps/htdocs/elon/gui/i.imgur.com/SwA6qxC.jpg	(from https://starlinkbr.online/)
18:04:07	289231/289231	---M--	200	added ('OK')	image/jpeg	etag:%22a8d09725024966a7d7ba35e9111e7451%22	https://i.imgur.com/uStthpE.jpg	G:/xampps/htdocs/elon/gui/i.imgur.com/uStthpE.jpg	(from https://starlinkbr.online/)
18:04:08	902485/902485	---M--	200	added ('OK')	image/jpeg	etag:%2214a731f7e26c4c34994f600f90004d46%22	https://i.imgur.com/urlKepT.jpg	G:/xampps/htdocs/elon/gui/i.imgur.com/urlKepT.jpg	(from https://starlinkbr.online/)
18:04:08	212496/212496	---MC-	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2021:04:08%20GMT	https://www.googletagmanager.com/gtag/js?id=AW-11413281008	G:/xampps/htdocs/elon/gui/www.googletagmanager.com/gtag/js7508	(from https://starlinkbr.online/)
18:04:08	38577/38577	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202023%2021:04:09%20GMT	https://starlinkbr.online/finalizar.php	G:/xampps/htdocs/elon/gui/starlinkbr.online/finalizar.html	(from https://starlinkbr.online/)
18:04:09	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20Nov%202023%2021:04:09%20GMT	https://fonts.googleapis.com/robots.txt		(from https://starlinkbr.online/)
18:04:09	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Nov%202023%2021:04:10%20GMT	https://fonts.gstatic.com/robots.txt		(from https://starlinkbr.online/)
18:04:10	106808/106808	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2027%20Apr%202023%2000:18:39%20GMT	https://fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CLzU9upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	G:/xampps/htdocs/elon/gui/fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CLzU9upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	(from https://fonts.googleapis.com/css2?family=Nunito+Sans:opsz,wght@6..12,200;6..12,500&family=Roboto+Condensed:wght@300;400;600&display=swap)
18:04:11	106892/106892	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2027%20Apr%202023%2000:57:43%20GMT	https://fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CLxU9upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	G:/xampps/htdocs/elon/gui/fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CLxU9upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	(from https://fonts.googleapis.com/css2?family=Nunito+Sans:opsz,wght@6..12,200;6..12,500&family=Roboto+Condensed:wght@300;400;600&display=swap)
18:04:12	106880/106880	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2027%20Apr%202023%2000:29:00%20GMT	https://fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CL_U8upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	G:/xampps/htdocs/elon/gui/fonts.gstatic.com/s/nunitosans/v15/pe1mMImSLYBIv1o4X1M8ce2xCx3yop4tQpF_MeTm0lfGWVpNn64CL_U8upHZIbMV51Q42ptCp5F5bxqqtQ1yiU4GVilntA.ttf	(from https://fonts.googleapis.com/css2?family=Nunito+Sans:opsz,wght@6..12,200;6..12,500&family=Roboto+Condensed:wght@300;400;600&display=swap)
